iso3,leader_name,dob,wiki_source,wiki_monitor
CHE,Guy Parmelin,1959-11-09,https://en.wikipedia.org/wiki/Guy_Parmelin,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHE,Viktor Rossi,1968-10-31,https://en.wikipedia.org/wiki/Viktor_Rossi,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHE,Élisabeth Baume-Schneider,1963-12-24,https://en.wikipedia.org/wiki/%C3%89lisabeth_Baume-Schneider,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHE,Karin Keller-Sutter,1963-12-22,https://en.wikipedia.org/wiki/Karin_Keller-Sutter,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHE,Ignazio Cassis,1961-04-13,https://en.wikipedia.org/wiki/Ignazio_Cassis,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHE,Albert Rösti,1967-08-07,https://en.wikipedia.org/wiki/Albert_R%C3%B6sti,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHE,Beat Jans,1964-07-12,https://en.wikipedia.org/wiki/Beat_Jans,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHE,Martin Pfister,1963-07-31,https://en.wikipedia.org/wiki/Martin_Pfister,https://en.wikipedia.org/wiki/Federal_Council_(Switzerland)
CHL,José Antonio Kast,1966-01-18,https://en.wikipedia.org/wiki/Jos%C3%A9_Antonio_Kast,https://en.wikipedia.org/wiki/President_of_Chile
CHN,Xi Jinping,1953-06-15,https://en.wikipedia.org/wiki/Xi_Jinping,https://en.wikipedia.org/wiki/General_Secretary_of_the_Chinese_Communist_Party
CIV,Alassane Ouattara,1942-01-01,https://en.wikipedia.org/wiki/Alassane_Ouattara,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Ivory_Coast
CMR,Paul Biya,1933-02-13,https://en.wikipedia.org/wiki/Paul_Biya,https://en.wikipedia.org/wiki/President_of_Cameroon
COD,Félix Tshisekedi,1963-06-13,https://en.wikipedia.org/wiki/F%C3%A9lix_Tshisekedi,https://en.wikipedia.org/wiki/President_of_the_Democratic_Republic_of_the_Congo
COG,Denis Sassou Nguesso,1943-11-23,https://en.wikipedia.org/wiki/Denis_Sassou_Nguesso,https://en.wikipedia.org/wiki/List_of_presidents_of_the_Republic_of_the_Congo
COL,Abelardo de la Espriella,1978-07-31,https://en.wikipedia.org/wiki/Abelardo_de_la_Espriella,https://en.wikipedia.org/wiki/President_of_Colombia
COM,Azali Assoumani,1959-01-01,https://en.wikipedia.org/wiki/Azali_Assoumani,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_the_Comoros
CPV,Francisco Carvalho,1970-12-04,https://en.wikipedia.org/wiki/Francisco_Carvalho,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Cape_Verde
CRI,Laura Fernández,1986-07-04,https://en.wikipedia.org/wiki/Laura_Fern%C3%A1ndez,https://en.wikipedia.org/wiki/President_of_Costa_Rica
CUB,Miguel Díaz-Canel,1960-04-20,https://en.wikipedia.org/wiki/Miguel_D%C3%ADaz-Canel,https://en.wikipedia.org/wiki/President_of_Cuba
CYP,Nikos Christodoulides,1973-12-06,https://en.wikipedia.org/wiki/Nikos_Christodoulides,https://en.wikipedia.org/wiki/President_of_Cyprus
CZE,Andrej Babiš,1954-09-02,https://en.wikipedia.org/wiki/Andrej_Babi%C5%A1,https://en.wikipedia.org/wiki/Prime_Minister_of_the_Czech_Republic
DEU,Friedrich Merz,1955-11-11,https://en.wikipedia.org/wiki/Friedrich_Merz,https://en.wikipedia.org/wiki/Chancellor_of_Germany
DJI,Ismaïl Omar Guelleh,1947-11-27,https://en.wikipedia.org/wiki/Isma%C3%AFl_Omar_Guelleh,https://en.wikipedia.org/wiki/List_of_presidents_of_Djibouti
DMA,Roosevelt Skerrit,1972-06-08,https://en.wikipedia.org/wiki/Roosevelt_Skerrit,https://en.wikipedia.org/wiki/Prime_Minister_of_Dominica
DNK,Mette Frederiksen,1977-11-19,https://en.wikipedia.org/wiki/Mette_Frederiksen,https://en.wikipedia.org/wiki/Prime_Minister_of_Denmark
DOM,Luis Abinader,1967-07-12,https://en.wikipedia.org/wiki/Luis_Abinader,https://en.wikipedia.org/wiki/President_of_the_Dominican_Republic
DZA,Abdelmadjid Tebboune,1945-11-17,https://en.wikipedia.org/wiki/Abdelmadjid_Tebboune,https://en.wikipedia.org/wiki/President_of_Algeria
ECU,Daniel Noboa,1987-11-30,https://en.wikipedia.org/wiki/Daniel_Noboa,https://en.wikipedia.org/wiki/President_of_Ecuador
EGY,Abdel Fattah el-Sisi,1954-11-19,https://en.wikipedia.org/wiki/Abdel_Fattah_el-Sisi,https://en.wikipedia.org/wiki/President_of_Egypt
ERI,Isaias Afwerki,1946-02-02,https://en.wikipedia.org/wiki/Isaias_Afwerki,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Eritrea
ESP,Pedro Sánchez,1972-02-29,https://en.wikipedia.org/wiki/Pedro_S%C3%A1nchez,https://en.wikipedia.org/wiki/Prime_Minister_of_Spain
EST,Kristen Michal,1975-07-12,https://en.wikipedia.org/wiki/Kristen_Michal,https://en.wikipedia.org/wiki/Prime_Minister_of_Estonia
ETH,Abiy Ahmed,1976-08-15,https://en.wikipedia.org/wiki/Abiy_Ahmed,https://en.wikipedia.org/wiki/Prime_Minister_of_Ethiopia
FIN,Petteri Orpo,1969-11-03,https://en.wikipedia.org/wiki/Petteri_Orpo,https://en.wikipedia.org/wiki/Prime_Minister_of_Finland
FJI,Sitiveni Rabuka,1948-09-13,https://en.wikipedia.org/wiki/Sitiveni_Rabuka,https://en.wikipedia.org/wiki/Prime_Minister_of_Fiji
FRA,Emmanuel Macron,1977-12-21,https://en.wikipedia.org/wiki/Emmanuel_Macron,https://en.wikipedia.org/wiki/President_of_France
FSM,Wesley Simina,1961-09-10,https://en.wikipedia.org/wiki/Wesley_Simina,https://en.wikipedia.org/wiki/President_of_the_Federated_States_of_Micronesia
GAB,Brice Oligui Nguema,1976-03-03,https://en.wikipedia.org/wiki/Brice_Oligui_Nguema,https://en.wikipedia.org/wiki/President_of_Gabon
GBR,Andy Burnham,1970-01-07,https://en.wikipedia.org/wiki/Andy_Burnham,https://en.wikipedia.org/wiki/Prime_Minister_of_the_United_Kingdom
GEO,Irakli Kobakhidze,1978-09-25,https://en.wikipedia.org/wiki/Irakli_Kobakhidze,https://en.wikipedia.org/wiki/Prime_Minister_of_Georgia
GHA,John Mahama,1958-11-29,https://en.wikipedia.org/wiki/John_Mahama,https://en.wikipedia.org/wiki/President_of_Ghana
GIN,Mamady Doumbouya,1985-12-05,https://en.wikipedia.org/wiki/Mamady_Doumbouya,https://en.wikipedia.org/wiki/List_of_presidents_of_Guinea
GMB,Adama Barrow,1965-02-15,https://en.wikipedia.org/wiki/Adama_Barrow,https://en.wikipedia.org/wiki/President_of_the_Gambia
GNB,Horta Inta-A Na Man,1960-01-01,https://en.wikipedia.org/wiki/Horta_Inta-A_Na_Man,https://en.wikipedia.org/wiki/List_of_presidents_of_Guinea-Bissau
GNQ,Teodoro Obiang Nguema Mbasogo,1942-06-05,https://en.wikipedia.org/wiki/Teodoro_Obiang_Nguema_Mbasogo,https://en.wikipedia.org/wiki/List_of_presidents_of_Equatorial_Guinea
GRC,Kyriakos Mitsotakis,1968-03-04,https://en.wikipedia.org/wiki/Kyriakos_Mitsotakis,https://en.wikipedia.org/wiki/Prime_Minister_of_Greece
GRD,Dickon Mitchell,1977-10-08,https://en.wikipedia.org/wiki/Dickon_Mitchell,https://en.wikipedia.org/wiki/List_of_heads_of_government_of_Grenada
GTM,Bernardo Arévalo,1958-10-07,https://en.wikipedia.org/wiki/Bernardo_Ar%C3%A9valo,https://en.wikipedia.org/wiki/President_of_Guatemala
GUY,Irfaan Ali,1980-04-25,https://en.wikipedia.org/wiki/Irfaan_Ali,https://en.wikipedia.org/wiki/President_of_Guyana
HND,Nasry Asfura,1958-06-08,https://en.wikipedia.org/wiki/Nasry_Asfura,https://en.wikipedia.org/wiki/President_of_Honduras
HRV,Andrej Plenković,1970-04-08,https://en.wikipedia.org/wiki/Andrej_Plenkovi%C4%87,https://en.wikipedia.org/wiki/Prime_Minister_of_Croatia
HTI,Alix Didier Fils-Aimé,1971-11-14,https://en.wikipedia.org/wiki/Alix_Didier_Fils-Aim%C3%A9,https://en.wikipedia.org/wiki/Prime_Minister_of_Haiti
HUN,Péter Magyar,1961-03-16,https://en.wikipedia.org/wiki/P%C3%A9ter_Magyar,https://en.wikipedia.org/wiki/Prime_Minister_of_Hungary
IDN,Prabowo Subianto,1951-10-17,https://en.wikipedia.org/wiki/Prabowo_Subianto,https://en.wikipedia.org/wiki/President_of_Indonesia
IND,Narendra Modi,1950-09-17,https://en.wikipedia.org/wiki/Narendra_Modi,https://en.wikipedia.org/wiki/Prime_Minister_of_India
IRL ,Micheál Martin,1960-08-16,https://en.wikipedia.org/wiki/Miche%C3%A1l_Martin,https://en.wikipedia.org/wiki/Taoiseach
IRN,Mojtaba Khamenei,1969-09-08,https://en.wikipedia.org/wiki/Mojtaba_Khamenei,https://en.wikipedia.org/wiki/Supreme_Leader_of_Iran
IRQ,Ali al-Zaidi,1985-05-01,https://en.wikipedia.org/wiki/Ali_al-Zaidi,https://en.wikipedia.org/wiki/Prime_Minister_of_Iraq
ISL,Kristrún Frostadóttir,1988-05-12,https://en.wikipedia.org/wiki/Kristr%C3%BAn_Frostad%C3%B3ttir,https://en.wikipedia.org/wiki/Prime_Minister_of_Iceland
ISR,Benjamin Netanyahu,1949-10-21,https://en.wikipedia.org/wiki/Benjamin_Netanyahu,https://en.wikipedia.org/wiki/Prime_Minister_of_Israel
ITA,Giorgia Meloni,1977-01-15,https://en.wikipedia.org/wiki/Giorgia_Meloni,https://en.wikipedia.org/wiki/Prime_Minister_of_Italy
JAM,Andrew Holness,1972-07-22,https://en.wikipedia.org/wiki/Andrew_Holness,https://en.wikipedia.org/wiki/Prime_Minister_of_Jamaica
JOR,Abdullah II of Jordan,1962-01-30,https://en.wikipedia.org/wiki/Abdullah_II,https://en.wikipedia.org/wiki/List_of_kings_of_Jordan
JPN,Sanae Takaichi,1961-03-07,https://en.wikipedia.org/wiki/Sanae_Takaichi,https://en.wikipedia.org/wiki/Prime_Minister_of_Japan
KAZ,Kassym-Jomart Tokayev,1953-05-17,https://en.wikipedia.org/wiki/Kassym-Jomart_Tokayev,https://en.wikipedia.org/wiki/President_of_Kazakhstan
KEN,William Ruto,1966-12-21,https://en.wikipedia.org/wiki/William_Ruto,https://en.wikipedia.org/wiki/President_of_Kenya
KGZ,Sadyr Japarov,1968-12-06,https://en.wikipedia.org/wiki/Sadyr_Japarov,https://en.wikipedia.org/wiki/President_of_Kyrgyzstan
KHM,Hun Manet,1977-10-20,https://en.wikipedia.org/wiki/Hun_Manet,https://en.wikipedia.org/wiki/Prime_Minister_of_Cambodia
KIR,Taneti Maamau,1960-09-16,https://en.wikipedia.org/wiki/Taneti_Maamau,https://en.wikipedia.org/wiki/President_of_Kiribati
KNA,Terrance Drew,1976-11-22,https://en.wikipedia.org/wiki/Terrance_Drew,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Saint_Kitts_and_Nevis
KOR,Lee Jae Myung,1963-12-08,https://en.wikipedia.org/wiki/Lee_Jae_Myung,https://en.wikipedia.org/wiki/President_of_South_Korea
KWT,Mishal Al-Ahmad Al-Jaber Al-Sabah,1940-09-27,https://en.wikipedia.org/wiki/Mishal_Al-Ahmad_Al-Jaber_Al-Sabah,https://en.wikipedia.org/wiki/Emir_of_Kuwait
LAO,Thongloun Sisoulith,1945-11-10,https://en.wikipedia.org/wiki/Thongloun_Sisoulith,https://en.wikipedia.org/wiki/President_of_Laos
LBN,Nawaf Salam,1953-12-15,https://en.wikipedia.org/wiki/Nawaf_Salam,https://en.wikipedia.org/wiki/Prime_Minister_of_Lebanon
LBR,Joseph Boakai,1944-11-30,https://en.wikipedia.org/wiki/Joseph_Boakai,https://en.wikipedia.org/wiki/President_of_Liberia
LBY,Abdul Hamid Dbeibeh,1959-01-01,https://en.wikipedia.org/wiki/Abdul_Hamid_Dbeibeh,https://en.wikipedia.org/wiki/List_of_heads_of_government_of_Libya
LCA,Philip J. Pierre,1954-09-18,https://en.wikipedia.org/wiki/Philip_J._Pierre,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Saint_Lucia
LIE,Hans-Adam II,1945-02-14,"https://en.wikipedia.org/wiki/Hans-Adam_II,_Prince_of_Liechtenstein",https://en.wikipedia.org/wiki/Monarchy_of_Liechtenstein
LKA,Anura Kumara Dissanayake,1968-11-24,https://en.wikipedia.org/wiki/Anura_Kumara_Dissanayake,https://en.wikipedia.org/wiki/President_of_Sri_Lanka
LSO,Sam Matekane,1958-03-15,https://en.wikipedia.org/wiki/Sam_Matekane,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Lesotho
LTU,Mindaugas Sinkevičius,1984-06-20,https://en.wikipedia.org/wiki/Mindaugas_Sinkevi%C4%8Dius,https://en.wikipedia.org/wiki/Prime_Minister_of_Lithuania
LUX,Luc Frieden,1963-09-16,https://en.wikipedia.org/wiki/Luc_Frieden,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Luxembourg
LVA,Andris Kulbergs,1979-05-26,https://en.wikipedia.org/wiki/Andris_Kulbergs,https://en.wikipedia.org/wiki/Prime_Minister_of_Latvia
MAR,Mohammed VI of Morocco,1963-08-21,https://en.wikipedia.org/wiki/Mohammed_VI_of_Morocco,https://en.wikipedia.org/wiki/King_of_Morocco
MCO,Albert II,1958-03-14,"https://en.wikipedia.org/wiki/Albert_II,_Prince_of_Monaco",https://en.wikipedia.org/wiki/Monarchy_of_Monaco
MDA,Vasile Tofan,1982-07-12,https://en.wikipedia.org/wiki/Vasile_Tofan,https://en.wikipedia.org/wiki/Prime_Minister_of_Moldova
MDG,Michael Randrianirina,1974-01-01,https://en.wikipedia.org/wiki/Michael_Randrianirina,https://en.wikipedia.org/wiki/List_of_presidents_of_Madagascar
MDV,Mohamed Muizzu,1978-06-15,https://en.wikipedia.org/wiki/Mohamed_Muizzu,https://en.wikipedia.org/wiki/President_of_the_Maldives
MEX,Claudia Sheinbaum,1962-06-24,https://en.wikipedia.org/wiki/Claudia_Sheinbaum,https://en.wikipedia.org/wiki/President_of_Mexico
MHL,Hilda Heine,1951-04-06,https://en.wikipedia.org/wiki/Hilda_Heine,https://en.wikipedia.org/wiki/List_of_presidents_of_the_Marshall_Islands
MKD,Hristijan Mickoski,1977-09-29,https://en.wikipedia.org/wiki/Hristijan_Mickoski,https://en.wikipedia.org/wiki/Prime_Minister_of_North_Macedonia
MLI,Assimi Goïta,1983-11-09,https://en.wikipedia.org/wiki/Assimi_Go%C3%AFta,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Mali
MLT,Robert Abela,1977-12-07,https://en.wikipedia.org/wiki/Robert_Abela,https://en.wikipedia.org/wiki/Prime_Minister_of_Malta
MMR,Min Aung Hlaing,1956-07-03,https://en.wikipedia.org/wiki/Min_Aung_Hlaing,https://en.wikipedia.org/wiki/President_of_Myanmar
MNE,Milojko Spajić,1987-09-24,https://en.wikipedia.org/wiki/Milojko_Spaji%C4%87,https://en.wikipedia.org/wiki/Prime_Minister_of_Montenegro
MNG,Nyam-Osoryn Uchral,1987-01-02,https://en.wikipedia.org/wiki/Nyam-Osoryn_Uchral,https://en.wikipedia.org/wiki/Prime_Minister_of_Mongolia
MOZ,Daniel Chapo,1977-01-06,https://en.wikipedia.org/wiki/Daniel_Chapo,https://en.wikipedia.org/wiki/List_of_presidents_of_Mozambique
MRT,Mohamed Ould Ghazouani,1956-12-04,https://en.wikipedia.org/wiki/Mohamed_Ould_Ghazouani,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Mauritania
MUS,Navin Ramgoolam,1947-07-14,https://en.wikipedia.org/wiki/Navin_Ramgoolam,https://en.wikipedia.org/wiki/Prime_Minister_of_Mauritius
MWI,Peter Mutharika,1940-07-18,https://en.wikipedia.org/wiki/Peter_Mutharika,https://en.wikipedia.org/wiki/President_of_Malawi
MYS,Anwar Ibrahim,1947-08-10,https://en.wikipedia.org/wiki/Anwar_Ibrahim,https://en.wikipedia.org/wiki/Prime_Minister_of_Malaysia
NAM,Netumbo Nandi-Ndaitwah,1952-10-29,https://en.wikipedia.org/wiki/Netumbo_Nandi-Ndaitwah,https://en.wikipedia.org/wiki/President_of_Namibia
NER,Abdourahamane Tchiani,1964-01-01,https://en.wikipedia.org/wiki/Abdourahamane_Tchiani,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Niger
NGA,Bola Tinubu,1952-03-29,https://en.wikipedia.org/wiki/Bola_Tinubu,https://en.wikipedia.org/wiki/President_of_Nigeria
NIC,Daniel Ortega,1945-11-11,https://en.wikipedia.org/wiki/Daniel_Ortega,https://en.wikipedia.org/wiki/Co-presidents_of_Nicaragua
NIC,Rosario Murillo,1951-06-22,https://en.wikipedia.org/wiki/Rosario_Murillo,https://en.wikipedia.org/wiki/Co-presidents_of_Nicaragua
NLD,Rob Jetten,1987-03-25,https://en.wikipedia.org/wiki/Rob_Jetten,https://en.wikipedia.org/wiki/Prime_Minister_of_the_Netherlands
NOR,Jonas Gahr Støre,1960-08-25,https://en.wikipedia.org/wiki/Jonas_Gahr_St%C3%B8re,https://en.wikipedia.org/wiki/Prime_Minister_of_Norway
NPL,Balen Shah,1990-04-27,https://en.wikipedia.org/wiki/Balen_Shah,https://en.wikipedia.org/wiki/Prime_Minister_of_Nepal
NRU,David Adeang,1969-11-24,https://en.wikipedia.org/wiki/David_Adeang,https://en.wikipedia.org/wiki/President_of_Nauru
NZL,Christopher Luxon,1970-07-19,https://en.wikipedia.org/wiki/Christopher_Luxon,https://en.wikipedia.org/wiki/Prime_Minister_of_New_Zealand
OMN,Haitham bin Tariq,1955-10-11,https://en.wikipedia.org/wiki/Haitham_bin_Tariq,https://en.wikipedia.org/wiki/List_of_rulers_of_Oman
PAK,Shehbaz Sharif,1951-09-23,https://en.wikipedia.org/wiki/Shehbaz_Sharif,https://en.wikipedia.org/wiki/Prime_Minister_of_Pakistan
PAN,José Raúl Mulino,1959-06-13,https://en.wikipedia.org/wiki/Jos%C3%A9_Ra%C3%BAl_Mulino,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_Panama
PER,Keiko Fujimori,1975-05-25,https://en.wikipedia.org/wiki/Keiko_Fujimori,https://en.wikipedia.org/wiki/President_of_Peru
PHL,Bongbong Marcos,1957-09-13,https://en.wikipedia.org/wiki/Bongbong_Marcos,https://en.wikipedia.org/wiki/President_of_the_Philippines
PLW,Surangel Whipps Jr.,1968-08-09,https://en.wikipedia.org/wiki/Surangel_Whipps_Jr.,https://en.wikipedia.org/wiki/President_of_Palau
PNG,James Marape,1971-04-24,https://en.wikipedia.org/wiki/James_Marape,https://en.wikipedia.org/wiki/Prime_Minister_of_Papua_New_Guinea
POL,Donald Tusk,1957-04-22,https://en.wikipedia.org/wiki/Donald_Tusk,https://en.wikipedia.org/wiki/Prime_Minister_of_Poland
PRK,Kim Jong Un,1983-01-08,https://en.wikipedia.org/wiki/Kim_Jong_Un,https://en.wikipedia.org/wiki/President_of_the_State_Affairs_Commission
PRT,Luís Montenegro,1973-02-16,https://en.wikipedia.org/wiki/Lu%C3%ADs_Montenegro,https://en.wikipedia.org/wiki/Prime_Minister_of_Portugal
PRY,Santiago Peña,1978-11-16,https://en.wikipedia.org/wiki/Santiago_Pe%C3%B1a,https://en.wikipedia.org/wiki/President_of_Paraguay
PSE,Mahmoud Abbas,1935-11-15,https://en.wikipedia.org/wiki/Mahmoud_Abbas,https://en.wikipedia.org/wiki/President_of_Palestine
QAT,Tamim bin Hamad Al Thani,1980-06-03,https://en.wikipedia.org/wiki/Tamim_bin_Hamad_Al_Thani,https://en.wikipedia.org/wiki/Emir_of_Qatar
ROU,Ilie Bolojan,1969-03-17,https://en.wikipedia.org/wiki/Ilie_Bolojan,https://en.wikipedia.org/wiki/Prime_Minister_of_Romania
RUS,Vladimir Putin,1952-10-07,https://en.wikipedia.org/wiki/Vladimir_Putin,https://en.wikipedia.org/wiki/President_of_Russia
RWA,Paul Kagame,1957-10-23,https://en.wikipedia.org/wiki/Paul_Kagame,https://en.wikipedia.org/wiki/List_of_presidents_of_Rwanda
SAU,Mohammed bin Salman,1985-08-31,https://en.wikipedia.org/wiki/Mohammed_bin_Salman,https://en.wikipedia.org/wiki/Crown_Prince_of_Saudi_Arabia
SDN,Abdel Fattah al-Burhan,1960-07-11,https://en.wikipedia.org/wiki/Abdel_Fattah_al-Burhan,https://en.wikipedia.org/wiki/Transitional_Sovereignty_Council
SEN,Bassirou Diomaye Faye,1980-03-25,https://en.wikipedia.org/wiki/Bassirou_Diomaye_Faye,https://en.wikipedia.org/wiki/President_of_Senegal
SGP,Lawrence Wong,1972-12-18,https://en.wikipedia.org/wiki/Lawrence_Wong,https://en.wikipedia.org/wiki/Prime_Minister_of_Singapore
SLB,Matthew Wale,1968-06-13,https://en.wikipedia.org/wiki/Matthew_Wale,https://en.wikipedia.org/wiki/Prime_Minister_of_Solomon_Islands
SLE,Julius Maada Bio,1964-05-12,https://en.wikipedia.org/wiki/Julius_Maada_Bio,https://en.wikipedia.org/wiki/President_of_Sierra_Leone
SLV,Nayib Bukele,1981-07-24,https://en.wikipedia.org/wiki/Nayib_Bukele,https://en.wikipedia.org/wiki/President_of_El_Salvador
SMR,Luca Beccari,1974-10-29,https://en.wikipedia.org/wiki/Luca_Beccari,https://en.wikipedia.org/wiki/San_Marino_Secretary_of_State_for_Foreign_and_Political_Affairs
SOM,Hamza Abdi Barre,1973-01-01,https://en.wikipedia.org/wiki/Hamza_Abdi_Barre,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_Somalia
SRB,Đuro Macut,1963-11-22,https://en.wikipedia.org/wiki/%C4%90uro_Macut,https://en.wikipedia.org/wiki/Prime_Minister_of_Serbia
SSD,Salva Kiir,1951-09-13,https://en.wikipedia.org/wiki/Salva_Kiir,https://en.wikipedia.org/wiki/List_of_heads_of_state_of_South_Sudan 
STP,Américo Ramos,1957-01-01,https://en.wikipedia.org/wiki/Am%C3%A9rico_Ramos,https://en.wikipedia.org/wiki/List_of_prime_ministers_of_S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe
